"","283","16688","3494","10128","3470","13259","1661","10784","16594","4206","9441","15960","10038","1955","702","12456","4047","14280","13234","15044","13033","12605","2073","16525","12916","6431","4613","17278","2042","8223","13005","8597","11440","11185","11701","10240","4565","11404","1954","1739","12665","3243","8590","11979","82","6734","3663","8360","6365","11004","308","16646","98","14423","2385","5482","13087","12462","11005","12057","11734","1759","12790","5846","14943","11203","14794","16191","15424","11394","14357","13975","16753","4609","10690","1605","13549","14931","1180","16083","10985","6119","14381","11953","10975","2361","16870","2589","3825","696","9096","16821","8954","6043","3798","540","13379","15392","3766","15727","10670","720","3337","6417","17219","2736","1547","9867","6645","6189","13043","9056","6987","4499","12943","12226","12174","12709","6538","16833","6111","12237","15786","327","8422","4737","8261","242","11351","1424","8569","1830","10825","9602","9223","6006","14362","16984","1183","10828","14183","8486","2063","14563","7101","12558","11317","15401","7422","4870","8875","8104","7882","7890","10024","3150","13906","10849","4451","5255","6898","675","5151","15075","8721","7434","9579","16961","2155","12102","5439","7293","13881","7791","5536","7805","751","8163","2308","13295","2012","14044","14145","3502","5738","12508","6169","11546","15983","3479","9067","17196","11437","8560","10416","7744","13661","8302","16637","13776","2749","7346","16263","2737","5395","6036","5686","3321","12201","8331","2439","9326","10100","14051","11548","11439","13947","10922","14866","156","2089","16084","9719","9017","10487","9939","14511","11950","14929","13344","8201","2651","4995","13350","10590","7420","593","2574","16421","8058","8849","11706","2497","7291","5292","11747","577","9999","3444","1494","14597","6331","12074","3474","9604","5492","16312","12396","1097","16759","13545","12130","26","5506","12458","14020","5925","4930","5654","11207","10050","3091","4769","15310","12310","11686","7315","6165","3667","17049","1138","3549","8807","14301","5896","1849","5062","17029","2906","11575","13471","16444","11340","5828","4954","16264","13445","10649","9493"
"3001",8,6,7,0,9,1,112,0,0,14,3,0,63,1,4,2,1,70,1,0,25,0,2,18,0,4,16,0,3,67,0,60,12,0,0,2,26,0,20,25,1,26,1,45,0,12,0,1,18,0,1,0,2,0,45,1,0,3,3,1,0,2,0,18,1,0,0,114,4,2,0,0,0,3,1,9,913,52,0,16,289,8,7,18,1,4,0,22,0,12,0,0,0,4,5,7,5,0,17,35,0,21,4,2,0,6,0,0,3,3,0,123,0,109,0,4,3,0,15,0,1,3,0,0,7,0,0,1,3,8,1,0,9,0,609,0,0,21,0,0,0,34,15,2,6,1,3,221,0,1,1,0,188,7,0,0,0,2,0,352,0,3,0,67,0,0,0,29,0,782,0,83,9,0,5,0,4,1,0,0,2,1,0,3,0,0,0,0,0,0,16,0,4,10,1,0,9,0,11,2,1,0,8,8,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,10,0,0,0,0,0,0,0,6,3,305,0,0,0,0,0,0,3,1,147,0,0,3,8,3,0,1,430,1,0,0,0,133,1,0,6,16,63,0,6,0,11,3,5,3,0,2,0,1,0,0,4,0,1,0,6,0,0,0,0,3,1,0,0,1,33,36,3,50,4,4,14,0,0,9,14,6,108
"3003",9,0,5,0,2,0,169,1,31,12,2,0,25,1,0,1,0,7,0,0,8,0,1,0,0,0,0,0,4,5,1,0,0,0,0,3,23,2,26,1,234,0,0,0,0,0,0,1,3,1,1,0,0,0,33,1,0,2,0,2,0,0,6,97,1,0,0,84,1,2,0,1,0,1,0,0,8,1,12,1,0,1,3,3,3,0,1,6,0,18,1,0,0,0,0,2,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,46,0,46,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,4,4,0,0,25,2,0,20,24,0,0,0,2,143,0,1,0,36,0,0,0,0,0,0,0,0,1,5,0,0,1,4,1,101,177,1819,27,27,8,0,1,7,4,1,0,6,2,0,15,0,0,2,14,1,58,10,0,0,3,0,0,2,7,0,0,0,0,0,0,0,15,0,0,389,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,22,0,0,0,9,16,0,0,0,2
"3004",37,0,4,1,9,1,211,1,54,5,0,1,10,0,0,0,0,27,0,1,38,0,0,0,0,0,27,0,0,90,8,4,4,0,0,4,6,0,0,4,0,0,0,29,0,16,0,0,7,0,0,2,7,0,5,1,0,8,0,1,0,0,1,13,1,0,0,43,0,10,0,0,0,8,5,5,449,22,0,17,4,2,26,81,3,5,10,33,2,0,3,2,3,5,8,18,0,0,6,32,0,2,1,0,0,3,0,0,2,2,0,70,0,39,0,1,1,0,7,19,1,0,0,1,2,1,0,3,0,1,8,2,4,4,0,39,0,0,90,293,1,6,0,0,0,0,1,77,0,1,0,0,5,0,0,0,14,3,1,0,0,2,1,17,0,2,1,76,101,0,4,0,0,1,0,0,13,3,0,0,2,1,0,3,0,3,2,1,2,1,0,0,0,6,0,13,18,115,13,6,0,1,1,23,73,250,0,1113,1,0,9,3,1,0,3,3,3,1,1,3,322,1,6,1,0,0,1,2,1,5,1,181,69,0,0,3,0,0,0,3,3,1,3,5,0,4,1,0,595,1,18,23,21,554,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,4,0,0,1,62,1,0,0,0,0,4,2,0,0,0,4,77,2,48,77,0,4,4,0,2,3,0,46
"3006",0,5,18,0,14,1,257,2,0,9,0,0,18,0,0,3,0,58,2,0,73,0,10,3,2,0,40,0,0,76,19,0,2,1,0,1,0,0,7,6,395,21,0,0,2,84,9,1,79,3,3,5,6,0,1,0,0,9,0,1,3,1,41,33,0,24,10,57,0,21,8,1,2,4,21,0,5,0,0,0,1,0,23,3,0,13,0,96,0,22,0,0,0,1,25,25,100,0,21,0,5,6,1,0,0,4,2,1,1,24,2,243,0,281,1,8,9,1,11,0,0,2,3,2,4,0,0,2,0,0,0,0,5,0,166,10,1,0,45,131,0,10,10,0,0,0,2,121,0,0,0,0,104,0,1,2,74,1,0,2,4,0,0,85,0,0,0,0,0,0,8,42,0,4,1,6,0,0,2,9,54,0,0,4,0,2,4,2,4,0,0,4,7,0,0,10,19,129,11,3,1,2,1,9,41,3,0,418,1,0,3,0,0,0,0,0,0,0,0,1,477,5,1,1,1,204,15,2,0,3,1,94,166,0,1,2,0,1,1,10,0,1,1,2,0,1,0,2,402,0,0,0,0,0,0,2,0,0,6,1,0,0,0,2,0,0,0,1,0,8,1,0,11,0,0,50,2,1,1,2,1,5,0,1,0,1,9,110,2,46,4,2,5,21,0,0,27,2,26
"3007",6,2,1,1,1,0,45,0,0,14,3,0,26,0,1,0,3,35,2,0,85,1,4,21,0,4,105,1,2,48,4,179,7,0,1,21,0,0,0,0,0,0,3,155,0,27,0,0,38,0,3,0,14,4,5,0,0,6,2,2,2,0,2,13,0,1,2,41,0,12,0,2,222,11,24,2,1241,17,0,23,1,1,6,127,0,8,20,63,3,7,1,0,0,6,19,16,0,10,0,8,8,7,3,0,67,13,3,2,0,3,1,157,0,122,2,3,2,1,6,41,0,6,0,0,5,0,12,2,1,1,2,4,4,0,559,174,8,4,95,287,0,0,0,0,0,0,0,0,0,0,1,0,189,7,0,4,38,4,0,0,0,7,0,0,0,0,0,0,0,0,0,58,0,2,0,0,17,5,1,0,0,9,120,6,0,0,0,16,29,3,21,1,0,8,0,4,0,0,30,0,0,0,0,21,112,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1015,5,0,0,0,1590,0,2,0,0,0,22,127,1,0,0,0,0,2,1,127,1,1,0,0,3,1,2,1304,0,0,0,0,0,0,3,0,0,22,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,3,45,5,4,3,0,15,1,1,0,0,0,0,181,1,27,2,0,4,12,8,0,13,1,87
"3008",10,2,1,1,1,0,31,0,51,0,0,0,3,1,0,0,0,27,0,1,5,0,0,0,0,0,6,0,0,5,4,3,0,0,0,0,0,0,10,7,96,0,1,4,3,3,0,0,6,1,0,0,0,0,2,0,0,1,1,0,1,0,2,10,0,3,0,6,0,4,0,0,21,1,25,0,10,0,0,1,0,1,4,13,2,4,0,25,0,0,1,0,0,0,1,0,3,0,3,6,0,1,0,0,65,1,0,1,0,0,0,8,1,9,1,2,0,2,1,3,0,0,12,2,0,0,6,0,0,0,2,1,0,0,16,9,1,20,32,94,0,7,2,3,4,0,0,124,0,3,0,0,10,1,0,0,0,1,0,0,0,0,0,40,0,1,0,64,207,0,0,53,7,0,4,0,0,0,0,3,7,0,10,0,1,0,5,0,21,3,0,0,0,0,0,13,9,151,19,0,0,0,0,0,1,50,0,284,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,123,22,0,0,1,1,0,0,1,2,1,0,2,2,1,0,1,336,0,0,0,0,12,0,0,9,1,2,1,4,0,11,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,2,0,0,0,0,14,2,0,0,0,0,0,2,0,2
"3009",13,2,9,0,5,3,171,0,0,9,1,0,36,0,0,2,1,17,2,0,33,0,3,13,3,5,11,1,0,28,7,3,15,1,1,3,0,0,0,0,21,41,0,2,0,95,0,0,7,3,2,0,0,0,5,1,0,2,2,2,0,0,15,6,0,2,0,36,0,16,0,0,124,5,2,1,119,4,75,8,47,0,12,83,0,1,9,15,0,0,0,0,0,2,1,9,4,0,5,53,0,9,3,0,57,0,0,0,0,2,0,53,0,104,0,0,0,0,2,25,0,2,0,0,2,0,2,0,1,4,2,0,2,0,0,28,3,0,7,132,0,8,18,0,0,0,2,111,0,0,0,0,72,0,0,1,55,1,0,0,0,0,0,0,1,25,2,329,231,0,0,0,0,0,0,2,7,1,1,0,5,0,0,2,0,7,0,0,3,1,0,0,0,0,0,5,18,0,17,0,0,0,0,0,0,0,4,1169,1,4,4,3,0,0,0,1,0,1,0,0,0,0,0,1,0,80,0,1,0,0,0,4,73,0,0,3,0,1,2,0,0,0,0,0,17,0,0,0,214,1,4,38,13,242,1,0,0,4,0,0,23,0,0,7,0,0,6,5,0,0,3,0,0,1,5,0,4,0,0,0,4,1,0,0,2,6,1,26,2,18,0,0,1,7,0,2,15,0,41
"3010",34,1,7,0,29,3,172,1,0,6,0,1,12,0,1,2,0,16,0,0,0,0,4,1,0,0,5,0,0,14,4,0,9,0,0,0,0,2,0,2,0,2,2,18,0,5,0,5,6,0,0,3,2,1,8,0,0,1,1,0,0,0,26,12,0,0,0,6,0,9,0,1,2,0,0,0,13,4,0,0,0,0,19,4,1,27,0,113,1,2,0,1,0,1,1,26,0,0,0,4,0,2,0,0,0,1,0,0,0,6,0,62,0,46,1,3,1,0,1,32,0,0,8,1,0,1,0,0,0,7,1,1,4,0,7,3,0,10,24,103,0,16,4,1,4,6,0,134,1,1,0,26,2,0,1,0,40,0,0,0,0,0,0,33,1,4,0,96,103,0,4,0,0,7,8,1,2,0,2,0,3,0,0,2,0,4,1,0,0,0,2,0,0,0,2,2,9,5,3,0,1,3,0,23,86,183,0,709,4,0,5,1,3,1,1,0,3,2,0,2,0,0,1,2,2,242,1,6,0,0,0,0,344,0,0,0,0,2,0,7,0,0,0,0,0,4,0,1,837,2,0,50,1,213,3,0,0,8,0,1,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,2,2,1,2,0,2,0,1,0,0,0,5,0,4,3,11,16,1,13,6,1
"3011",100,16,1,0,0,0,13,0,274,2,1,0,28,0,1,0,0,52,5,1,25,0,29,61,5,18,36,0,18,19,22,3,80,0,0,4,3,4,58,4,5,0,0,0,1,62,28,5,63,6,0,8,2,0,16,2,1,10,1,0,0,0,20,16,1,1,1,92,1,67,6,1,126,3,1,1,102,6,56,1,88,1,28,4,0,23,1,140,0,15,0,0,2,3,23,20,0,0,7,7,0,9,0,1,0,12,0,2,0,4,1,281,2,266,4,4,16,0,10,141,2,6,10,7,14,6,0,2,1,1,0,0,1,12,5,48,4,40,110,1092,6,14,7,3,6,1,0,198,1,3,2,2,4,1,0,0,0,0,0,0,1,0,0,370,2,2,1,189,54,323,0,279,13,0,0,0,3,0,2,92,23,2,6,0,4,12,20,8,54,5,53,2,0,2,0,24,96,20,1,2,4,29,0,0,9,361,0,694,0,1,2,3,3,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,26,54,0,1,3,12,1,0,0,0,0,0,1,12,0,0,1,74,0,0,0,0,11,2,0,0,1,0,4,95,4,3,1,2,4,2,2,1,0,0,0,6,0,0,57,1,0,0,11,2,1,0,2,2,7,12,161,0,13,59,0,0,43,1,2,6,18,781
"3013",7,0,3,0,3,0,81,0,0,2,3,0,26,1,2,0,1,17,2,0,150,0,2,7,1,0,8,1,0,4,2,0,8,0,0,1,0,18,74,1,0,0,0,1,0,8,6,1,3,5,0,0,0,0,1,0,0,0,0,1,1,0,4,12,0,1,2,25,0,6,0,0,0,3,0,0,32,2,0,1,0,1,4,46,4,0,2,6,2,0,4,2,0,0,4,2,0,0,0,0,17,11,1,1,0,1,1,0,0,3,0,244,0,86,2,1,7,0,24,0,0,1,0,1,0,1,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,4,6,1,2,3,0,144,2,0,0,0,43,0,1,4,64,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,1,0,34,0,0,0,0,0,0,0,0,0,15,0,12,0,0,3,0,0,12,1,0,0,4,0,0,0,0,2194,2,2,18,4,0,0,1,2,5,2,0,3,0,0,9,4,0,0,0,0,0,12,3,391,0,0,0,0,0,3,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,5,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,21,0,0,0,5,13,0,0,0,8
"3014",2,0,4,0,4,0,239,0,0,102,10,5,228,3,2,2,4,0,11,0,14,0,0,20,0,20,9,0,0,134,20,2,2,2,0,1,0,0,0,5,2,7,1,34,1,14,1,3,9,0,8,4,0,0,201,2,4,4,10,18,0,0,56,192,1,0,0,89,0,3,0,0,1,0,0,0,9,0,2,1,0,0,84,1916,41,25,15,338,3,0,48,5,0,2,12,22,0,0,0,1,23,0,5,0,0,6,0,1,1,7,0,85,0,124,5,5,4,0,13,427,0,6,24,1,2,0,4,8,0,0,0,0,4,0,65,16,0,1,9,154,0,0,3,0,0,0,1,17,0,3,2,0,32,0,0,0,0,0,1,0,0,0,0,22,0,3,0,56,76,0,0,4,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,16,234,0,10,0,0,0,0,13,45,255,0,182,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,33,11,3,0,0,0,0,160,0,0,3,0,0,0,3,13,0,0,0,0,1,0,1,166,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,11,0,1,38,1,0,5,1,1,1,0,0,0,2,2,0,8,0,1,0,1,3,2,18,7,165,0,6,7,0,0,2,41,0,322
"3015",2,1,14,1,11,2,307,1,0,9,0,0,15,0,0,5,0,21,0,0,28,0,0,0,0,0,17,0,0,13,2,2,16,3,0,3,0,0,0,4,0,0,1,16,0,34,1,0,4,0,0,0,5,2,35,0,0,0,0,2,0,0,0,26,0,0,0,68,1,10,0,1,0,0,0,1,399,17,0,6,1,3,23,74,3,0,4,0,6,0,1,5,0,1,6,52,8,0,5,22,0,0,0,0,15,1,0,1,1,3,2,122,1,232,3,2,12,0,6,0,0,2,0,1,2,0,0,3,0,2,6,2,0,0,0,3,0,23,71,51,0,0,3,0,0,0,0,20,0,1,0,0,27,0,2,4,58,0,0,0,0,5,1,68,1,1,0,62,0,0,0,15,0,8,0,12,5,0,2,0,4,9,0,0,5,16,28,0,7,0,0,1,0,3,1,0,41,0,0,0,1,0,0,0,0,477,0,304,1,0,0,0,0,0,0,0,0,0,1,1,1286,5,0,0,1,0,13,5,0,0,1,74,518,1,0,9,15,0,0,1,0,1,0,1,0,0,0,0,390,0,5,11,4,427,5,0,0,21,0,3,0,0,1,0,3,0,11,0,0,0,0,2,0,0,3,55,0,5,12,0,5,5,2,4,0,0,0,1,0,23,8,0,4,4,0,0,35,0,24
"3016",2,3,2,0,2,1,134,0,0,20,0,1,29,1,0,1,0,119,0,0,87,1,1,5,0,3,78,0,1,16,33,22,6,0,0,2,0,6,27,23,1,15,8,59,1,75,11,0,13,5,0,3,16,5,3,0,2,6,2,3,0,0,3,15,0,0,0,25,5,25,0,0,0,10,25,0,113,3,26,2,161,4,2,25,0,3,2,26,0,3,0,0,0,2,3,0,126,3,17,0,0,8,3,0,0,4,0,0,0,9,0,73,0,103,0,3,0,0,1,37,0,0,0,1,1,1,0,1,0,0,0,0,3,0,123,11,0,33,41,155,0,10,10,0,0,0,3,184,0,0,0,0,0,0,1,4,100,1,0,0,1,1,0,125,0,0,0,0,0,0,0,5,0,0,10,3,3,0,0,9,41,1,2,0,0,0,7,2,10,1,0,1,0,0,0,11,32,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,7,0,0,1,0,8,4,0,2,1,53,160,0,1,9,0,0,0,1,107,0,0,0,0,1,0,0,112,0,4,0,0,488,4,1,0,6,3,0,0,0,0,0,0,1,0,17,0,0,0,4,0,0,0,0,0,0,0,2,2,1,0,1,0,1,0,113,2,46,38,0,3,18,5,0,13,1,75
"3017",6,0,6,2,2,0,105,0,12,0,0,0,29,1,0,0,1,3,0,0,1,0,18,29,2,6,27,1,0,6,14,13,2,0,0,0,0,0,0,10,0,17,0,0,0,47,1,0,6,0,1,1,0,0,1,1,3,0,1,1,0,1,3,10,0,0,0,9,0,5,0,0,0,0,1,0,45,1,0,2,51,1,19,100,0,1,25,29,3,21,0,0,0,0,1,3,0,0,0,34,4,0,0,1,0,1,0,0,0,0,0,27,0,82,0,0,0,0,21,48,1,1,0,0,0,0,0,1,0,1,0,0,3,1,28,38,4,0,11,121,1,2,2,0,0,0,0,73,0,0,2,0,97,2,0,1,38,0,0,221,0,0,1,47,0,0,0,0,0,3806,0,0,0,0,0,0,3,0,0,1,36,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,6,0,3,0,3,0,3,0,58,0,1,303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,2,0,68,239,0,0,5,0,0,0,0,92,0,0,0,0,0,0,0,41,0,0,1,0,174,1,0,0,0,2,0,0,4,5,4,1,5,0,3,0,1,0,0,0,0,1,2,1,1,2,0,0,0,0,0,1,1,0,1,1,12,0,0,1,2,0,0,11,0,5
"3018",0,0,4,0,6,2,182,1,0,17,2,0,176,3,1,0,0,0,0,0,7,0,0,0,1,0,1,0,0,33,26,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,13,0,0,0,0,0,54,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,31,3,2,5,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,25,0,26,0,0,0,0,3,4,91,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,2,395,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,176,0,0,0,0,18,0,0
"3019",35,0,13,4,15,2,435,1,0,1,0,1,7,0,0,0,0,0,3,1,6,0,0,0,0,0,4,0,0,30,1,29,16,0,1,2,0,3,35,1,191,0,2,75,0,30,2,0,0,0,2,6,0,0,11,1,1,1,1,1,0,9,2,11,0,0,1,35,0,2,1,0,0,0,0,0,396,3,0,3,0,1,29,64,0,13,22,69,11,11,0,0,0,2,6,3,1,6,0,16,0,1,1,0,0,1,1,0,0,0,0,129,0,55,1,3,1,0,4,58,0,7,13,0,9,0,0,11,0,2,27,4,0,0,32,11,0,44,103,154,1,4,7,6,1,1,1,134,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,46,0,13,0,101,511,0,0,0,0,6,5,5,22,5,3,31,8,3,0,1,0,26,41,0,0,0,0,0,0,2,1,2,0,74,0,15,2,2,0,3,59,233,1,1382,0,3,4,2,1,1,0,1,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,8,169,1,0,37,8,2,0,0,0,0,0,0,22,0,0,0,80,0,10,26,10,1123,2,0,8,4,14,0,3,12,10,19,3,0,0,2,1,0,1,0,1,2,0,15,3,4,0,0,0,5,8,1,0,15,18,0,4,53,71,0,0,2,0,1,14,0,7
