"OTU_ID","degree","strength","betweenness","closeness","eigenvector","pagerank","IVI","prevalence_n","prevalence_fraction","total_abundance","mean_abundance","median_abundance","CONSENSUS_LINEAGE","SUPERKINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","biological_label","important_status"
"OTU_97.29803",6,6,75,0.483870967741935,1,0.0211214468674326,100,131,0.700534759358289,13275,70.9893048128342,11,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.39459",4,4,38,0.405405405405405,0.777390208430421,0.0143154697092153,66.5243016020124,134,0.716577540106952,4083,21.8342245989305,4,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.38931",3,3,14,0.384615384615385,0.69247407179158,0.0108312554430419,42.070319244009,150,0.802139037433155,39430,210.855614973262,38,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.1654",3,3,48,0.365853658536585,0.192223625126082,0.0116799195967664,31.1316347808818,93,0.497326203208556,454,2.42780748663102,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.5474",3,3,1,0.8,0,0.00946684170135779,3.78344209254601,84,0.449197860962567,4241,22.6791443850267,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.510",3,3,1,0.8,0,0.00946684170134969,3.78344209254601,90,0.481283422459893,3028,16.192513368984,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.1201",3,3,3,0.8,0,0.00994910573240964,3.76942117370581,69,0.368983957219251,983,5.25668449197861,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.11641",3,3,5,0.714285714285714,0,0.0114966272698758,2.71073580034423,77,0.411764705882353,636,3.40106951871658,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Porphyromonadaceae / Parabacteroides","Hub + IVI"
"OTU_97.16034",3,3,5,0.714285714285714,0,0.0114966272698716,2.71073580034423,86,0.459893048128342,1712,9.15508021390374,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","Porphyromonadaceae / Parabacteroides","Hub + IVI"
"OTU_97.12279",3,3,2,1,0,0.0115689547991923,2.64820270091354,140,0.748663101604278,2547,13.620320855615,5,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.18018",3,3,5,0.8,0,0.0140992814398973,1.89626638421819,70,0.374331550802139,589,3.14973262032086,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.24636",2,2,50,0.428571428571429,0.409652610420646,0.00748448082498733,27.2465680027804,95,0.508021390374332,1246,6.66310160427807,1,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.22716",2,2,14,0.283018867924528,0.0748906322057118,0.00860711758407496,9.63360419700781,73,0.390374331550802,424,2.26737967914439,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.5659",2,2,14,0.283018867924528,0.0748906322057118,0.00860711758407496,9.63360419700781,84,0.449197860962567,312,1.66844919786096,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.35852",2,2,14,0.306122448979592,0.302872470237192,0.00818868589842712,5.63134110618297,101,0.540106951871658,1004,5.36898395721925,1,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub + IVI"
"OTU_97.9982",2,2,0,0.571428571428571,0,0.00654750893045102,2.32965377995498,76,0.406417112299465,711,3.80213903743316,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","IVI"
"OTU_97.37",2,2,0,0.75,0,0.00775797534977871,2.14737935257514,155,0.828877005347594,12093,64.668449197861,23,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","IVI"
"OTU_97.36155",2,2,0,0.75,0,0.0077579753497694,2.14737935257514,127,0.679144385026738,1215,6.49732620320856,2,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","IVI"
"OTU_97.5287",2,2,0,1,0,0.00788643533121777,1.96510492519529,108,0.577540106951872,983,5.25668449197861,1,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Rikenellaceae / Alistipes","IVI"
"OTU_97.5561",2,2,0,1,0,0.00788643533121307,1.96510492519529,106,0.566844919786096,1292,6.90909090909091,1,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Rikenellaceae / Alistipes","IVI"
"OTU_97.57",2,2,0,1,0,0.00788643533120783,1.96510492519529,130,0.695187165775401,15294,81.7860962566845,24,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Rikenellaceae / Alistipes","IVI"
"OTU_97.43637",2,2,3,0.666666666666667,0,0.00968028526401527,1.64172514232755,72,0.385026737967914,1600,8.55614973262032,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.37902",2,2,1,1,4.74225544789869e-17,0.011509932645566,1.18866874089766,153,0.818181818181818,8799,47.0534759358289,7,"Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Lachnospiraceae / Roseburia","Hub"
"OTU_97.34294",2,2,1,1,1.74585069857872e-17,0.011509932645566,1.18866874089766,85,0.454545454545455,708,3.78609625668449,0,"Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Ruminococcaceae / Faecalibacterium","Hub"
"OTU_97.39171",2,2,1,1,4.34565993236919e-17,0.011509932645566,1.18866874089766,116,0.620320855614973,12051,64.4438502673797,2,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
"OTU_97.34479",2,2,1,1,2.16144765282604e-17,0.011509932645566,1.18866874089766,67,0.358288770053476,166,0.887700534759358,0,"Root;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroidaceae / Bacteroides","Hub"
